TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Cluster
14.089999999999975,Debit,ATM,70.0,Doctor,81.0,1.0,5112.21,0
376.24,Debit,ATM,68.0,Doctor,141.0,1.0,13758.91,0
126.29000000000002,Debit,Online,19.0,Student,56.0,1.0,1122.35,1
184.5,Debit,Online,26.0,Student,25.0,1.0,8569.06,0
13.449999999999989,Credit,Online,26.0,Student,198.0,1.0,7429.4,0
92.15,Debit,ATM,18.0,Student,172.0,1.0,781.6800000000003,1
7.079999999999984,Credit,ATM,37.0,Doctor,139.0,1.0,13316.71,0
171.42,Credit,Branch,67.0,Retired,291.0,1.0,2796.24,0
106.23000000000002,Credit,Branch,51.0,Engineer,86.0,1.0,9095.14,0
815.96,Debit,ATM,55.0,Doctor,120.0,1.0,1021.8799999999997,0
17.78000000000003,Credit,Online,52.0,Engineer,59.0,1.0,7599.52,0
190.02,Debit,Online,21.0,Student,173.0,1.0,1528.81,1
494.52,Credit,Branch,24.0,Student,111.0,1.0,1620.02,2
781.76,Debit,ATM,26.0,Student,123.0,1.0,189.6899999999996,2
166.99,Debit,Online,18.0,Student,134.0,1.0,299.9300000000003,1
465.45,Debit,ATM,36.0,Engineer,129.0,1.0,3465.54,0
555.8,Credit,Branch,19.0,Student,158.0,1.0,1131.2600000000002,2
492.93,Debit,Online,39.0,Engineer,234.0,1.0,5109.97,0
18.680000000000007,Credit,Branch,59.0,Retired,106.0,1.0,7948.37,0
71.48000000000002,Credit,Online,18.0,Student,169.0,1.0,6568.59,0
59.31999999999999,Debit,Branch,71.0,Retired,38.0,1.0,5750.89,0
85.76999999999998,Debit,Branch,38.0,Doctor,93.0,1.0,9146.19,0
52.19999999999999,Debit,Online,39.0,Engineer,120.0,1.0,8974.93,0
345.84,Debit,Online,22.0,Student,142.0,3.0,1402.5,1
145.54,Debit,Online,21.0,Student,96.0,1.0,1930.96,1
7.490000000000009,Credit,Online,65.0,Retired,276.0,1.0,3634.67,0
246.93,Debit,ATM,23.0,Student,158.0,5.0,673.3500000000004,1
40.31999999999999,Debit,Branch,37.0,Engineer,95.0,1.0,2686.52,0
127.44999999999999,Debit,Online,44.0,Doctor,197.0,1.0,1772.06,0
56.170000000000016,Debit,Branch,27.0,Student,283.0,1.0,1351.69,1
28.310000000000002,Credit,Online,59.0,Doctor,20.0,1.0,8334.47,0
59.120000000000005,Debit,ATM,29.0,Doctor,257.0,1.0,9823.64,0
396.45,Debit,ATM,49.0,Engineer,168.0,3.0,9690.15,0
877.81,Debit,Online,22.0,Student,150.0,1.0,399.0,2
255.26,Credit,Branch,45.0,Doctor,50.0,1.0,14815.87,0
124.75999999999999,Debit,Branch,49.0,Engineer,45.0,1.0,5764.72,0
78.13,Debit,Branch,26.0,Student,145.0,1.0,900.6099999999997,1
649.28,Debit,ATM,75.0,Retired,137.0,1.0,4875.86,0
795.31,Debit,ATM,66.0,Doctor,90.0,2.0,7914.88,0
335.63,Debit,Online,55.0,Retired,216.0,1.0,1019.3899999999999,0
328.47,Debit,ATM,63.0,Retired,119.0,1.0,4323.66,0
34.02000000000001,Debit,Online,38.0,Doctor,19.0,1.0,14214.48,0
241.42,Credit,Online,57.0,Doctor,116.0,1.0,13357.02,0
55.31999999999999,Debit,ATM,19.0,Student,117.0,1.0,241.78999999999996,1
304.31,Debit,Branch,27.0,Student,33.0,1.0,868.6099999999997,1
435.27,Debit,Branch,74.0,Retired,90.0,1.0,4673.28,0
164.49,Debit,Branch,26.0,Student,75.0,1.0,1509.27,1
510.24,Debit,Online,19.0,Student,105.0,1.0,781.6999999999998,2
626.9,Debit,Online,26.0,Student,138.0,1.0,265.5100000000002,2
22.00999999999999,Credit,Online,41.0,Engineer,175.0,1.0,1335.0900000000001,0
425.34,Credit,Online,69.0,Retired,121.0,1.0,3907.54,0
424.56,Debit,Online,51.0,Engineer,264.0,1.0,5183.85,0
85.43,Debit,Branch,67.0,Doctor,145.0,1.0,14904.9,0
169.5,Debit,Branch,28.0,Student,142.0,1.0,918.8800000000001,1
104.63,Debit,ATM,62.0,Retired,90.0,1.0,4477.78,0
316.95,Debit,Branch,25.0,Student,83.0,1.0,1324.0299999999997,1
60.53999999999999,Credit,Branch,57.0,Retired,52.0,1.0,3534.93,0
292.56,Credit,Branch,68.0,Retired,61.0,1.0,4638.37,0
386.52,Debit,Branch,48.0,Engineer,28.0,1.0,5630.61,0
112.07,Debit,Branch,23.0,Student,51.0,1.0,930.3000000000002,1
568.52,Debit,ATM,46.0,Engineer,152.0,1.0,5499.91,0
263.99,Debit,Branch,79.0,Retired,227.0,2.0,4175.02,0
349.64,Debit,Online,48.0,Engineer,226.0,1.0,6651.62,0
601.4,Credit,Branch,56.0,Engineer,104.0,1.0,8458.29,0
5.769999999999982,Debit,Online,50.0,Doctor,124.0,1.0,13988.12,0
201.33,Credit,Branch,42.0,Engineer,186.0,1.0,2585.07,0
298.42,Debit,Branch,56.0,Retired,225.0,1.0,3014.75,0
521.06,Debit,Branch,25.0,Student,128.0,1.0,1951.42,2
117.28,Credit,Online,60.0,Engineer,16.0,1.0,3665.77,0
189.12,Credit,Branch,32.0,Engineer,103.0,1.0,977.0100000000002,0
133.55,Debit,ATM,44.0,Engineer,220.0,1.0,3846.28,0
143.21,Debit,Online,35.0,Engineer,135.0,1.0,6374.82,0
24.769999999999982,Debit,ATM,62.0,Retired,55.0,1.0,5866.01,0
233.92,Credit,Online,26.0,Student,280.0,1.0,6537.62,0
913.49125,Debit,Branch,20.0,Student,24.0,1.0,605.9499999999998,2
232.12,Debit,ATM,37.0,Engineer,51.0,1.0,6689.87,0
162.63,Debit,Online,22.0,Student,113.0,1.0,634.1700000000001,1
91.53,Debit,Branch,44.0,Doctor,69.0,1.0,14676.05,0
120.29000000000002,Debit,Branch,19.0,Student,77.0,1.0,1362.3900000000003,1
174.25,Debit,Online,50.0,Doctor,67.0,1.0,10528.34,0
183.71,Debit,ATM,38.0,Engineer,102.0,1.0,552.5200000000004,0
345.39,Credit,Online,58.0,Engineer,80.0,1.0,6451.96,0
913.49125,Debit,ATM,63.0,Retired,87.0,1.0,4715.84,0
259.91,Debit,Online,49.0,Doctor,170.0,1.0,7176.86,0
154.71,Debit,Online,34.0,Doctor,157.0,1.0,1523.7200000000003,0
913.49125,Credit,Online,54.0,Engineer,30.0,1.0,8654.28,0
24.560000000000002,Debit,Branch,64.0,Doctor,69.0,1.0,9869.93,0
568.07,Debit,ATM,48.0,Doctor,115.0,1.0,10556.81,0
9.610000000000014,Credit,Online,58.0,Doctor,179.0,1.0,12883.91,0
392.96,Debit,Online,24.0,Student,100.0,1.0,791.6499999999996,1
716.93,Credit,Online,60.0,Retired,34.0,1.0,4064.02,0
223.85,Debit,ATM,53.0,Engineer,55.0,4.0,2929.91,0
230.66,Debit,Branch,21.0,Student,135.0,1.0,618.0500000000002,1
442.12,Debit,Online,19.0,Student,260.0,1.0,1375.8000000000002,2
644.17,Debit,ATM,29.0,Engineer,72.0,1.0,1143.52,0
508.68,Credit,Branch,51.0,Engineer,127.0,1.0,7708.41,0
858.6300000000001,Credit,Branch,27.0,Student,185.0,1.0,1872.96,2
25.360000000000014,Debit,ATM,57.0,Engineer,78.0,1.0,201.03999999999996,0
147.62,Debit,Branch,71.0,Retired,133.0,1.0,2115.8,0
115.01999999999998,Debit,Branch,37.0,Doctor,175.0,1.0,7643.66,0
383.37,Debit,Branch,30.0,Engineer,24.0,1.0,8901.93,0
98.54000000000002,Credit,Online,20.0,Student,167.0,1.0,9383.43,0
83.24000000000001,Credit,Branch,55.0,Doctor,164.0,1.0,1181.31,0
196.16,Debit,Branch,27.0,Engineer,146.0,1.0,9418.86,0
129.94,Debit,ATM,32.0,Engineer,235.0,1.0,7954.92,0
306.9,Debit,Online,46.0,Engineer,51.0,1.0,9418.08,0
114.98000000000002,Debit,Online,59.0,Retired,80.0,1.0,6144.68,0
756.59,Debit,Branch,27.0,Student,17.0,1.0,420.64999999999964,2
503.76,Debit,Online,22.0,Student,35.0,1.0,447.8199999999997,2
143.03,Debit,ATM,63.0,Retired,147.0,1.0,7981.45,0
913.49125,Debit,ATM,53.0,Retired,73.0,1.0,1829.9,0
245.54,Debit,ATM,25.0,Student,180.0,1.0,985.0599999999995,1
254.37,Credit,Online,51.0,Engineer,174.0,1.0,8849.26,0
213.76,Credit,ATM,78.0,Retired,282.0,1.0,3528.72,0
327.86,Debit,Online,40.0,Engineer,104.0,1.0,480.15999999999985,0
2.5,Debit,Online,47.0,Doctor,107.0,1.0,12145.27,0
300.08,Credit,Online,68.0,Doctor,47.0,1.0,13546.75,0
56.97999999999999,Credit,ATM,43.0,Engineer,122.0,2.0,5688.37,0
407.65,Debit,Online,26.0,Engineer,62.0,1.0,8346.64,0
115.82999999999998,Debit,Branch,39.0,Engineer,167.0,1.0,6481.04,0
53.56999999999999,Debit,ATM,69.0,Retired,121.0,1.0,1651.33,0
63.34,Credit,Online,46.0,Doctor,165.0,1.0,11174.94,0
317.87,Debit,Online,27.0,Student,91.0,1.0,145.5,1
331.65,Debit,Online,41.0,Engineer,61.0,1.0,4172.57,0
5.0400000000000205,Debit,ATM,56.0,Retired,41.0,1.0,5558.36,0
214.54,Credit,Online,70.0,Doctor,247.0,1.0,11151.53,0
598.81,Debit,Branch,57.0,Doctor,158.0,1.0,1415.52,0
841.28,Debit,Online,26.0,Student,80.0,1.0,1103.6400000000008,2
38.150000000000006,Debit,Online,26.0,Student,108.0,1.0,303.6800000000003,1
913.49125,Debit,Branch,58.0,Doctor,144.0,1.0,5541.57,0
124.72,Debit,Branch,33.0,Engineer,105.0,1.0,6309.8,0
302.45,Credit,Branch,78.0,Retired,40.000000000000014,1.0,5133.61,0
208.04,Debit,Online,47.0,Engineer,273.0,1.0,9344.98,0
5.769999999999982,Credit,Branch,23.0,Student,254.0,1.0,1117.9700000000003,1
381.33,Debit,ATM,56.0,Doctor,75.0,1.0,11835.35,0
16.160000000000025,Debit,ATM,50.0,Doctor,124.0,1.0,14401.17,0
486.08,Debit,Online,18.0,Student,68.0,1.0,1748.69,2
336.39,Debit,Branch,21.0,Student,18.0,1.0,1000.46,1
913.49125,Debit,Online,69.0,Doctor,118.0,1.0,6810.05,0
234.57,Debit,Online,23.0,Student,120.0,1.0,263.97999999999956,1
6.0,Debit,Online,30.0,Doctor,246.0,1.0,5442.76,0
913.49125,Debit,ATM,80.0,Retired,20.999999999999986,1.0,2037.85,0
227.14,Debit,ATM,18.0,Student,294.0,1.0,341.9399999999996,1
